qid,name,category,country,iso,lat,lon,year,century,wikipedia,image,sitelinks,pageviews,fame_rank
Q4817751,Atskuri Fortress,fortress,Georgia,GE,41.7285,43.16552,1000,10th century,https://en.wikipedia.org/wiki/Atskuri_Fortress,https://commons.wikimedia.org/wiki/Special:FilePath/Atskuri%20Fortres1.JPG?width=1280,13,1603,1827
Q18623932,Dashtadem Fortress,fortress,Armenia,AM,40.33839,43.8569,,,https://en.wikipedia.org/wiki/Dashtadem_Fortress,https://commons.wikimedia.org/wiki/Special:FilePath/Dashtadem%20Fortress%2C%2014%20July%202019%20-%2001.jpg?width=1280,13,2450,1688
Q606185,Old Fortress of Corfu,fortress,Greece,GR,39.62333,19.92944,1545,16th century,"https://en.wikipedia.org/wiki/Old_Fortress,_Corfu",https://commons.wikimedia.org/wiki/Special:FilePath/Corfu%2C%20Greece%20-%20panoramio%20%2875%29.jpg?width=1280,13,34399,810
Q7941869,Vorotnaberd,fortress,Armenia,AM,39.4956,46.1222,500,5th century,https://en.wikipedia.org/wiki/Vorotnaberd,https://commons.wikimedia.org/wiki/Special:FilePath/Vorotnaberd%203.jpg?width=1280,13,847,1933
Q3078465,Guia Fortress,fortress,People's Republic of China,CN,22.1965,113.55,1865,19th century,https://en.wikipedia.org/wiki/Guia_Fortress,https://commons.wikimedia.org/wiki/Special:FilePath/Macau%20-%20Fortaleza%20de%20Guia.JPG?width=1280,13,6563,1310
Q3536493,Gingee Fort,fortress,India,IN,12.25083,79.39583,,,https://en.wikipedia.org/wiki/Gingee_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Gingee%20Fort%20panorama.jpg?width=1280,13,83189,673
Q3555617,Acronauplia,fortress,Greece,GR,37.56418,22.79636,,,https://en.wikipedia.org/wiki/Acronauplia,https://commons.wikimedia.org/wiki/Special:FilePath/NafplionViewFromAkronauplia.jpg?width=1280,13,4125,1489
Q74880,Fort Detroit,fortress,United States,US,42.3289,-83.0458,1701,18th century,https://en.wikipedia.org/wiki/Fort_Pontchartrain_du_D%C3%A9troit,https://commons.wikimedia.org/wiki/Special:FilePath/Siege%20of%20Fort%20Detroit.jpg?width=1280,13,31950,825
Q515965,Fort Frontenac,fortress,Canada,CA,44.23333,-76.47861,1673,17th century,https://en.wikipedia.org/wiki/Fort_Frontenac,https://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Frontenac.JPG?width=1280,13,13171,1072
Q516573,Fortaleza de Sagres,fortress,Portugal,PT,37.00085,-8.94839,,,https://en.wikipedia.org/wiki/Fortress_of_Sagres,https://commons.wikimedia.org/wiki/Special:FilePath/Fortaleza%20de%20Sagres%20-%20Foto.jpg?width=1280,13,11054,1117
Q478784,Fort Amsterdam,fortress,Ghana,GH,5.19237,-1.09312,,,"https://en.wikipedia.org/wiki/Fort_Amsterdam,_Ghana",https://commons.wikimedia.org/wiki/Special:FilePath/FortAmsterdamCormantine.JPG?width=1280,13,11521,1105
Q1247039,Baltit Fort,fortress,Pakistan,PK,36.32556,74.66972,,,https://en.wikipedia.org/wiki/Baltit_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Baltit%20fort%20Karimabad%20Hunza.jpg?width=1280,13,9617,1174
Q3827817,Khānderi Island,fortress,India,IN,18.7042,72.8131,,,https://en.wikipedia.org/wiki/Khanderi,https://commons.wikimedia.org/wiki/Special:FilePath/The%20Lighthouse%2C%20Khanderi%20Fort.jpg?width=1280,13,11212,1110
Q305286,Fort Dearborn,fortress,United States,US,41.88806,-87.62389,1803,19th century,https://en.wikipedia.org/wiki/Fort_Dearborn,https://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Dearborn%201831%20Kinzie.jpg?width=1280,13,35841,800
Q633264,Fort Amsterdam,fortress,United States,US,40.704,-74.0137,1625,17th century,https://en.wikipedia.org/wiki/Fort_Amsterdam,https://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Amsterdam%2C%201660.jpg?width=1280,13,43842,772
Q771105,Allahabad Fort,fortress,India,IN,25.43,81.87667,,,https://en.wikipedia.org/wiki/Allahabad_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Akbar%20Fort%20Allahabad.jpg?width=1280,13,16299,990
Q3696257,Harishchandragad,fortress,India,IN,19.38824,73.77594,,,https://en.wikipedia.org/wiki/Harishchandragad,https://commons.wikimedia.org/wiki/Special:FilePath/Kalbhairav%20pinnacle%20Scj.jpg?width=1280,13,56862,729
Q3696263,Bala Hisar Fort,fortress,Pakistan,PK,34.01278,71.56972,,,"https://en.wikipedia.org/wiki/Bala_Hissar,_Peshawar",https://commons.wikimedia.org/wiki/Special:FilePath/Bala%20Hisar%20Fort.jpg?width=1280,13,16984,976
Q2663176,St. Angelo Fort,fortress,India,IN,11.85417,75.37143,,,https://en.wikipedia.org/wiki/St._Angelo_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Kannur-Fort-22.jpg?width=1280,13,13340,1058
Q1998460,Fort Saint Anthony,fortress,Ghana,GH,4.868,-2.2444,1515,16th century,https://en.wikipedia.org/wiki/Fort_Saint_Anthony,https://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Saint%20Anthony%20in%20Axim%2C%20Western%20Region%2C%20Ghana.jpg?width=1280,13,2955,1628
Q12060953,Kangla Fort,fortress,India,IN,24.808,93.94,,,https://en.wikipedia.org/wiki/Kangla_fort,https://commons.wikimedia.org/wiki/Special:FilePath/Kangla%20Fort%2C%20imphal.JPG?width=1280,13,8707,1208
Q5033525,Cantacuzino Castle,castle,Romania,RO,45.41404,25.54285,1911,20th century,https://en.wikipedia.org/wiki/Cantacuzino_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Castelul%20Cantacuzino%2002.jpg?width=1280,13,35355,803
Q370990,Lednice Castle,castle,Czech Republic,CZ,48.80139,16.80556,,,https://en.wikipedia.org/wiki/Lednice_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Main%20front%20of%20Lednice%20Castle%204800%20Planar%203.jpg?width=1280,13,2342,1707
Q2243801,Tjolöholm Castle,castle,Sweden,SE,57.39861,12.10306,1904,20th century,https://en.wikipedia.org/wiki/Tjol%C3%B6holm_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Tjol%C3%B6holms%20slott.jpg?width=1280,13,6149,1335
Q2970356,Raudonė Castle,castle,Lithuania,LT,55.09667,23.13056,,,https://en.wikipedia.org/wiki/Raudon%C4%97_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Raudon%C4%97%20Castle%20front.jpg?width=1280,13,1882,1781
Q12862462,Batoni Castle,castle,Georgia,GE,41.91789,45.47612,1664,17th century,https://en.wikipedia.org/wiki/Batoni_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/%E1%83%94%E1%83%A0%E1%83%94%E1%83%99%E1%83%9A%E1%83%94%20%E1%83%9B%E1%83%94%E1%83%A4%E1%83%98%E1%83%A1%20%E1%83%A1%E1%83%90%E1%83%A1%E1%83%90%E1%83%AE%E1%83%9A%E1%83%94.jpg?width=1280,13,83,1979
Q386703,Lewes Castle,ruin,England,GB-ENG,50.8728,0.00725,,,https://en.wikipedia.org/wiki/Lewes_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Keep%20To%20Lewes%20Castle%20April%202018%2002.jpg?width=1280,13,10405,1134
Q312445,Château de Dinan,castle,France,FR,48.45028,-2.04489,1384,14th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Dinan,https://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20Dinan1.jpg?width=1280,13,4733,1436
Q573688,Burg Castle,castle,Germany,DE,51.13761,7.15278,1133,12th century,https://en.wikipedia.org/wiki/Burg_Castle_(Solingen),https://commons.wikimedia.org/wiki/Special:FilePath/Schloss-burg-20040223-135s.jpg?width=1280,13,8577,1217
Q937190,Verrès Castle,castle,Italy,IT,45.66982,7.69561,,,https://en.wikipedia.org/wiki/Verr%C3%A8s_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/CastelloDiVerresJuly292023%2004.jpg?width=1280,13,2360,1697
Q579961,Château d'Ancy-le-Franc,castle,France,FR,47.77389,4.16167,,,https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Ancy-le-Franc,https://commons.wikimedia.org/wiki/Special:FilePath/Ancy-le-Franc%20-%2020.jpg?width=1280,13,2386,1691
Q607339,Threave Castle,castle,Scotland,GB-SCT,54.9392,-3.9697,1369,14th century,https://en.wikipedia.org/wiki/Threave_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Scotland%20-%20Threave%20Castle%20-%2020140524132838.jpg?width=1280,13,8627,1212
Q650474,Hohenstaufen Castle,ruin,Germany,DE,48.7431,9.71639,1050,11th century,https://en.wikipedia.org/wiki/Hohenstaufen_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Burg%20Hohenstaufen%202019%20001.jpg?width=1280,13,15245,1011
Q1140030,Restormel Castle,castle,England,GB-ENG,50.4217,-4.6704,1100,11th century,https://en.wikipedia.org/wiki/Restormel_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/RestormelCastle.JPG?width=1280,13,16774,983
Q552305,Meersburg Castle,castle,Germany,DE,47.6939,9.27052,,,https://en.wikipedia.org/wiki/Meersburg_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Bodensee%20Meersburg%20asv2022-10%20img2.jpg?width=1280,13,6536,1312
Q879819,Moritzburg,castle,Germany,DE,51.48611,11.96333,2000,20th century,https://en.wikipedia.org/wiki/Moritzburg_(Halle),https://commons.wikimedia.org/wiki/Special:FilePath/2009%2007%20Moritzburg.jpg?width=1280,13,2376,1693
